DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"2,570.00","2,589.00","2,555.90","2,576.90","2,583.60","2,581.50","2,577.98","3,630.50","2,346.20",2718206,"7,00,74,72,973.50",131272
16-Apr-2026,EQ,"2,572.00","2,594.00","2,558.00","2,554.90","2,573.00","2,576.90","2,575.26","3,630.50","2,346.20",3905403,"10,05,74,27,039.80",174580
15-Apr-2026,EQ,"2,501.90","2,559.00","2,493.40","2,472.60","2,552.80","2,554.90","2,542.02","3,630.50","2,346.20",5261384,"13,37,45,54,360.50",186444
13-Apr-2026,EQ,"2,489.90","2,504.90","2,470.00","2,524.30","2,470.70","2,472.60","2,480.40","3,630.50","2,346.20",3739587,"9,27,56,88,865.00",152183
10-Apr-2026,EQ,"2,565.80","2,565.80","2,501.10","2,589.00","2,523.00","2,524.30","2,522.67","3,630.50","2,346.20",10480239,"26,43,82,19,057.00",373922
09-Apr-2026,EQ,"2,554.00","2,605.00","2,531.10","2,559.20","2,590.00","2,589.00","2,577.84","3,630.50","2,346.20",5628261,"14,50,87,58,087.80",218190
08-Apr-2026,EQ,"2,572.00","2,580.30","2,540.10","2,539.80","2,561.10","2,559.20","2,557.13","3,630.50","2,346.20",4769337,"12,19,58,04,701.30",236001
07-Apr-2026,EQ,"2,461.00","2,543.90","2,448.00","2,473.90","2,543.50","2,539.80","2,522.72","3,630.50","2,346.20",4516550,"11,39,39,81,114.00",219120
06-Apr-2026,EQ,"2,474.00","2,482.00","2,448.20","2,450.70","2,472.00","2,473.90","2,465.46","3,630.50","2,346.20",2572417,"6,34,21,91,751.10",118175
02-Apr-2026,EQ,"2,386.00","2,469.90","2,375.70","2,408.20","2,445.70","2,450.70","2,428.65","3,630.50","2,346.20",5378361,"13,06,21,62,395.40",253292
01-Apr-2026,EQ,"2,429.00","2,472.00","2,397.90","2,358.90","2,411.20","2,408.20","2,433.70","3,630.50","2,346.20",4132661,"10,05,76,37,617.80",147044
30-Mar-2026,EQ,"2,375.10","2,398.00","2,346.20","2,389.80","2,365.00","2,358.90","2,370.92","3,630.50","2,346.20",6804756,"16,13,35,42,829.30",186938
27-Mar-2026,EQ,"2,403.90","2,422.10","2,385.00","2,377.40","2,387.50","2,389.80","2,403.64","3,710.00","2,348.00",4979411,"11,96,86,98,699.20",204594
25-Mar-2026,EQ,"2,400.90","2,421.60","2,369.80","2,398.80","2,377.90","2,377.40","2,397.29","3,710.00","2,348.00",5843778,"14,00,92,57,427.90",216118
24-Mar-2026,EQ,"2,404.10","2,435.40","2,379.10","2,383.80","2,400.80","2,398.80","2,405.63","3,710.00","2,348.00",3420182,"8,22,77,06,052.40",174467
23-Mar-2026,EQ,"2,365.00","2,406.80","2,348.00","2,390.60","2,380.00","2,383.80","2,389.12","3,710.00","2,348.00",3860515,"9,22,32,42,939.10",214767
20-Mar-2026,EQ,"2,386.00","2,407.80","2,364.20","2,356.00","2,397.60","2,390.60","2,384.64","3,710.00","2,350.20",4206320,"10,03,05,76,230.90",186293
19-Mar-2026,EQ,"2,417.00","2,424.00","2,350.20","2,440.80","2,362.80","2,356.00","2,378.78","3,710.00","2,350.20",2757060,"6,55,84,45,932.60",171760
